qid,true_type,question_preview,needs_review,confidence,review_flags,review_reason,current_rule_route,router_mismatch_candidate,n_choices,has_context,is_quantitative,is_legal,has_refusal_choice,is_harmful,split_reason,quant_keyword_hits,quant_symbol_hits,digit_count
test_0027,reading,"Theo ngữ cảnh, phát biểu nào sau đây đúng khi phân biệt giữa nhiễm trùng ngoại khoa và nhiễm trùng nội khoa?",no,0.98,,,reading,no,4,TRUE,FALSE,TRUE,FALSE,FALSE,explicit_context_question_split,0,0,0
test_0028,reading,Tại sao Radiohead quyết định tách nhạc phẩm thành hai album Amnesiac và Kid A?,no,0.98,,,reading,no,4,TRUE,FALSE,TRUE,FALSE,FALSE,explicit_context_question_split,0,0,0
test_0029,knowledge,Giáo dục đóng vai trò:,no,0.74,short_contextless_question,short question may be curriculum-dependent,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0030,knowledge,Người đầu tiên truyền thừa tại chùa An Phú là ai?,no,0.72,underspecified_no_source_context,question depends on unstated source/curriculum or external fact,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0031,stem,"Giả sử $ x $ và $ y $ là các số nguyên sao cho $ x \equiv 2 \pmod{5} $ và $ y \equiv 3 \pmod{5} $. Xét biểu thức $ x^2y + xy^2 $. Trong các lựa chọn sau, điều nào đúng về giá trị của $ x^2y + xy^2 $ theo modulo 5?",no,0.94,,,stem,no,10,FALSE,TRUE,TRUE,FALSE,FALSE,none,1,121,49
test_0032,reading,Sự kiện nào được ghi nhận là nhiệt độ thấp nhất trong lịch sử Hà Nội?,no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,0,28,26
test_0033,knowledge,Nhiệm vụ nào sau đây KHÔNG thuộc khoa học xã hội?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0034,stem,Một doanh nghiệp trong thị trường cạnh tranh có hàm tổng chi phí (TC) được cho bởi TC = 100 + 5Q + 0.5Q^2. Chi phí biến đổi trung bình (AVC) tối thiểu tại điểm đóng cửa là bao nhiêu?,no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,17,13
test_0035,knowledge,"Chọn phương án đúng trả lời cho câu hỏi sau: Cách mạng giải phóng dân tộc trong thời đại mới phải do Đảng Cộng sản lãnh đạo, để:",no,0.82,legal_admin_without_context,may require precise/current legal or administrative rule,knowledge,no,4,FALSE,FALSE,TRUE,FALSE,FALSE,none,0,0,0
test_0036,stem,"Xét hàm số $ g(x) = 2x^2 - 3x + 1 $. Nếu chúng ta thực hiện phép biến đổi $ x \to x - 2 $ đối với $ g(x) $, đa thức kết quả là gì?",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,115,54
test_0037,stem,"Một chiếc tàu vũ trụ đang di chuyển với tốc độ $ v = 0.6c $, trong đó $ c $ là tốc độ ánh sáng. Hỏi hệ số giãn nở thời gian $ \gamma $ của chiếc tàu vũ trụ so với một quan sát viên đứng yên là bao nhiêu?",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,34,27
test_0038,stem,Theo Luật Bảo vệ môi trường 2020 thì có bao nhiêu nguyên tắc bảo vệ môi trường?,no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,1,8,8
test_0039,reading,"Theo các đoạn văn, sự kiện nào xảy ra trước và tạo tiền đề cho việc thành lập Khối Warszawa của Liên Xô?",no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,0,8,8
test_0040,reading,Ali Hassan al-Majid bị kết án tử hình trong phiên tòa năm 2007 chủ yếu vì vai trò của ông trong sự kiện nào?,no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,0,21,20
test_0041,knowledge,"Theo Tư tưởng Hồ Chí Minh, lực lượng cách mạng chủ yếu được hình thành từ đâu?",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0042,stem,"Một doanh nghiệp có hàm sản xuất Q = 2K^0.5L^0.5 và đang sản xuất tại điểm A (4,16) trên đường đẳng lượng sản xuất. Điểm nào trong các điểm sau nằm trên đường đẳng lượng với mức sản lượng bằng một nửa?",no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,22,19
test_0043,stem,Một nhà nghiên cứu đang kiểm định giả thuyết không $ H_0: \mu = 50 $ đối với giả thuyết thay thế $ H_1: \mu > 50 $ bằng cách sử dụng một mẫu có kích thước $ n = 36 $ từ một quần thể có phân phối chuẩn với phương sai chưa,no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,50,35
test_0044,knowledge,Yếu tố nào là cốt lõi giúp công nghiệp văn hóa tạo ra giá trị kinh tế?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,1,0,0
test_0045,reading,Nguyễn Bảo Trị đã đảm nhiệm chức vụ nào sau đây trong chính phủ của Tổng thống Nguyễn Cao Kỳ?,no,0.98,,,reading,no,4,TRUE,FALSE,TRUE,FALSE,FALSE,explicit_context_question_split,0,1,1
test_0046,knowledge,Nguyễn Ái Quốc đã mở nhiều lớp huấn luyện đào tạo cán bộ cho cách mạng Việt Nam ở đâu,no,0.86,,,knowledge,no,3,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0047,reading,"Theo ngữ cảnh, điều gì đã xảy ra trong quá trình Maria Ann Smith phát hiện ra giống táo Granny Smith?",no,0.98,reading_with_legal_terms,,reading,no,4,TRUE,FALSE,TRUE,FALSE,FALSE,explicit_context_question_split,0,0,0
test_0048,knowledge,"Nguồn gốc nào sau đây đã ảnh hưởng sâu sắc đến tư tưởng Chủ Tịch Hồ Chí Minh, góp phần hình thành con người cách mạng của Người?",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,1,0
test_0049,reading,Thuật ngữ 'vũ khí hủy diệt hàng loạt' lần đầu tiên được sử dụng trong bối cảnh nào?,no,0.65,harmful_or_evasion_no_refusal_option;reading_with_quant_symbols,unsafe/evasion wording without explicit refusal option,reading,no,4,TRUE,TRUE,TRUE,FALSE,TRUE,explicit_context_question_split,0,12,12
test_0050,stem,"Một công ty có các số dư tài khoản sau đến hết năm: Tài sản 250.000 USD, Nợ 70.000 USD, Vốn cổ phần thường 100.000 USD, Cổ tức 5.000 USD, Doanh thu 100.000 USD và Chi phí 80.000 USD. Nếu công ty phát hành cổ phiếu thường",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,1,57,57
test_0051,stem,"Trong thị trường cạnh tranh hoàn hảo, nếu một doanh nghiệp tăng sản lượng từ 50 đơn vị lên 75 đơn vị và giá thị trường là 60 đô la mỗi đơn vị, thì doanh thu tổng của doanh nghiệp tăng bao nhiêu?",no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,21,21
test_0052,reading,"Nhân tố nào được nhấn mạnh là cốt lõi trong thành công của Sony, dựa trên thông tin trong ngữ cảnh?",no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,1,11,7
test_0053,reading,Gói cước nào trong số sau đây bao gồm dịch vụ Truyền hình MyTV (App) nâng cao và có tốc độ Internet cao nhất?,no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,FALSE,FALSE,FALSE,explicit_context_question_split,1,5,3
test_0054,stem,"Trong một thị trường đối với một mặt hàng nhất định, cầu được cho bởi $ Q_d = 200 - 5P $ và cung được cho bởi $ Q_s = 5P - 50 $, trong đó $ Q $ là lượng và $ P $ là giá. Nếu chính phủ áp đặt một trần giá ở $ P = 10 $, th",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,49,34
test_0055,stem,"Nếu tỷ lệ dự trữ là 10%, thì số nhân tiền tệ là bao nhiêu?",no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,9,8
test_0056,stem,Xét hàm số $ h(x) = x^4 - 4x^3 + 6x^2 - 4x + 1 $. Giả sử $ k(x) $ là đạo hàm bậc hai của $ h(x) $. Hàm số $ h(x) $ có bao nhiêu điểm uốn?,no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,33,17
test_0057,reading,"Theo ngữ cảnh, lý do chính dẫn đến việc xây dựng chùa Báo Ân vào thế kỷ 19 là gì?",no,0.98,,,reading,no,4,TRUE,FALSE,FALSE,FALSE,FALSE,explicit_context_question_split,0,2,2
test_0058,stem,"Thời hạn giải quyết thủ tục cấp giấy phép xây dựng (cải tạo, nâng cấp đường ngang) của Bộ Xây dựng là bao nhiêu ngày làm việc kể từ khi nhận đủ hồ sơ?",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,1,6,6
test_0059,knowledge,"Nhận định: “Các thông tin được đăng tải trên trang thông tin cá nhân của người nổi tiếng có hàng nghìn người theo dõi, chia sẻ chắc chắn có nội dung thông tin chính xác”?",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0060,knowledge,Điểm khác biệt căn bản của hệ thống chính trị Việt Nam so với hệ thống chính trị được tổ chức theo cơ chế tam quyền phân lập là:,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,1,0,0
test_0061,knowledge,"Tỉ lệ dân thành thị của nước ta còn thấp, nguyên nhân chính là do:",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0062,knowledge,Sức mạnh dân tộc bao gồm những yếu tố chủ yếu nào?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0063,stem,"Xét một dung dịch đệm gồm axit yếu $ \text{HB} $ và bazơ liên hợp của nó $ \text{B}^- $. Giá trị $ \text{p}K_a $ của $ \text{HB} $ là 5,00. Nếu nồng độ của $ \text{HB} $ là 0,2 M và nồng độ của $ \text{B}^- $ là 0,1 M, t",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,3,53,37
test_0064,reading,"Theo bối cảnh được cung cấp, hiện trạng pháp lý của hôn nhân đồng giới ở Honduras là gì?",no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,0,16,16
test_0065,knowledge,"Trong kỹ thuật phân trang bộ nhớ, địa chỉ Hệ điều hành cấp cho CPU truy cập tiến trình trong bộ nhớ (gọi là địa chỉ luận lý) có dạng nào?",no,0.82,legal_admin_without_context,may require precise/current legal or administrative rule,knowledge,no,4,FALSE,FALSE,TRUE,FALSE,FALSE,none,0,0,0
test_0066,stem,Quan điểm về “Phổ cập kỹ năng số” được nêu trong Quyết định số 146/QĐ-TTg là?,no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,13,11
test_0067,stem,"Trong một mô hình kinh tế đơn giản, hàm tiêu dùng được cho bởi $ C = a + bY $, trong đó $ Y $ là thu nhập quốc gia tổng cộng, $ a $ là tiêu dùng tự định, và $ b $ là xu hướng tiêu dùng biên (với $ 0 < b < 1 $). Nếu chính",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,91,8
test_0068,knowledge,"Ô-guyt-xtanh nhà thần học, chính trị học phương Tây thời trung cổ khẳng định “Quyền lực là sở hữu cá nhân là một sai lầm cơ bản”. Ông cho rằng quyền lực chính trị phải thuộc về:",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,2,0
test_0069,stem,"Xét phương trình vi phân riêng phần (PDE) $ u_t = u_{xx} $ với điều kiện ban đầu $ u(x,0) = \sin(x) $ và các điều kiện biên $ u(0,t) = u(\pi,t) = 0 $. Giá trị của nghiệm $ u(x,t) $ tại $ t = 1 $ là gì?",no,0.94,,,stem,no,10,FALSE,TRUE,TRUE,FALSE,FALSE,none,3,94,22
test_0070,stem,"Theo quy trình cấp Chứng nhận trường mầm non đạt kiểm định chất lượng giáo dục, thành phần hồ sơ bắt buộc gồm những tài liệu nào?",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,0,16,16
test_0071,stem,"Một thanh kim loại có chiều dài 1 mét và diện tích mặt cắt ngang 0,01 m² ban đầu ở nhiệt độ đồng nhất là 50°C. Một đầu của thanh đột ngột tiếp xúc với nguồn nhiệt duy trì nhiệt độ không đổi là 150°C, trong khi đầu còn lạ",no,0.94,,,stem,no,10,FALSE,TRUE,TRUE,FALSE,FALSE,none,2,52,51
test_0072,stem,"Tiệm bán lẻ đang phân tích tỷ lệ luân chuyển hàng tồn kho, được tính bằng chi phí hàng hóa bán ra (COGS) chia cho hàng tồn kho trung bình. Chi phí hàng hóa bán ra của tiệm trong năm vừa qua là 500.000 đô la, và tiệm dự đ",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,3,69,68
test_0073,knowledge,"Trong cặp NST (nhiễm sắc thể) tương đồng, 2 NST có nguồn gốc từ đâu?",no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,2,2
test_0074,knowledge,Thế gian trụ trì Phật bảo là chỉ cho gì?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0075,stem,Con người là động vật chính trị là quan điểm của nhà chính trị học nào?,no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,3,0
test_0076,stem,"Một tia sáng đi vào một khối thủy tinh với góc tới là 30 độ. Chỉ số khúc xạ của thủy tinh là 1,5. Hỏi góc khúc xạ khi tia sáng thoát khỏi khối thủy tinh ra không khí là bao nhiêu?",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,24,24
test_0077,stem,Một công ty đang phân tích chi phí quý của mình và nhận thấy rằng chi phí trong mỗi quý có thể được mô hình hóa bởi các phương trình sau: - Q1: $ E_1 = 3000 + 100y $ - Q2: $ E_2 = 4000 + 150y $ - Q3: $ E_3 = 5000 + 200y ,no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,3,84,60
test_0078,stem,"Một hạt chuyển động dọc theo trục x với vị trí được cho bởi hàm số $ x(t) = t^3 - 3t^2 + 3t + 1 $ mét, trong đó $ t $ tính bằng giây. Hạt đó đạt được vận tốc nhỏ nhất tại thời điểm $ t $ nào?",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,28,16
test_0079,stem,"Đối với chương trình đào tạo chuyên sâu đặc thù trình độ bậc 7, yêu cầu số lượng giảng viên cơ hữu là bao nhiêu?",no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,7,7
test_0080,knowledge,Tính nhân văn của văn hóa chính trị biểu hiện ở chỗ:,no,0.82,legal_admin_without_context,may require precise/current legal or administrative rule,knowledge,no,3,FALSE,FALSE,TRUE,FALSE,FALSE,none,1,0,0
test_0081,stem,Một doanh nghiệp hoạt động trong thị trường cạnh tranh hoàn hảo và đối mặt với các hàm chi phí sau: - Tổng chi phí (TC) = 400 + 15Q + 3Q^2 - Chi phí biên (MC) = 15 + 6Q - Chi phí trung bình tổng (ATC) = (400/Q) + 15 + 3Q,no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,45,31
test_0082,stem,"Một nghiên cứu được thực hiện để xác định xem một phương pháp giảng dạy mới có cải thiện hiệu suất của học sinh trên bài kiểm tra chuẩn hóa hay không. Giả thuyết không $ H_0 $ là phương pháp mới không có tác động, và giả",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,1,38,34
test_0083,stem,"Một quả bóng có khối lượng $ m $ được ném theo phương ngang từ đỉnh một tòa tháp có chiều cao $ h $ với vận tốc ban đầu $ v_0 $. Bỏ qua lực cản không khí, biểu thức nào sau đây mô tả chính xác vận tốc $ v $ của quả bóng ",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,71,21
test_0084,stem,Ngôi chùa Ba La Mật được khai dựng vào năm nào?,no,0.94,,,stem,no,4,FALSE,TRUE,FALSE,FALSE,FALSE,none,0,16,16
test_0085,stem,"Một hạt đang chuyển động với tốc độ $0.6c$, trong đó $c$ là tốc độ ánh sáng. Động lượng tương đối $p$ của hạt là bao nhiêu nếu khối lượng nghỉ của nó là $m_0$?",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,3,64,36
test_0086,knowledge,Chất liệu nào được sử dụng làm chất nền của đĩa cứng hiện đại để cải thiện độ đồng đều của bề mặt từ tính và giảm lỗi đọc/ghi?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,1,1,0
test_0087,stem,"Theo quy định mới từ ngày 1/7/2025, Việt Nam sẽ áp dụng mô hình hành chính bao nhiêu cấp?",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,1,18,10
test_0088,knowledge,Tại sao việc xác định mục tiêu hoạt động là quan trọng đối với doanh nghiệp?,no,0.86,,,knowledge,no,4,FALSE,FALSE,FALSE,FALSE,FALSE,none,0,0,0
test_0089,knowledge,"Trong bối cảnh luật hình sự, câu hỏi nào dưới đây mô tả chính xác nhất thuật ngữ ""actus reus""?",no,0.82,legal_admin_without_context,may require precise/current legal or administrative rule,knowledge,no,4,FALSE,FALSE,TRUE,FALSE,FALSE,none,0,0,0
test_0090,reading,"Theo giả thuyết đầu tiên được đề cập trong ngữ cảnh, tổ tiên của chó Ngao Anh thuộc nhóm nào?",no,0.98,,,reading,no,4,TRUE,FALSE,TRUE,FALSE,FALSE,explicit_context_question_split,1,2,2
test_0091,reading,Trần Thu Hà đã thể hiện bao nhiêu ca khúc cho mỗi album 'Cánh cung' và 'Thời gian để yêu' của nhạc sĩ Đỗ Bảo?,no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,1,4,4
test_0092,stem,"Tháng 06 năm 1929, tổ chức Đảng Cộng sản đầu tiên ra đời ở Bắc kỳ với tên gọi gì?",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,TRUE,FALSE,none,0,6,6
test_0093,stem,"Trong một phản ứng hạt nhân giả định, một hạt nhân của nguyên tố Y có số khối là 200 bị phân hạch thành hai hạt nhân, mỗi hạt có số khối là 100. Biết rằng năng lượng liên kết trên nuclôn của nguyên tố Y là 7,8 MeV và của",no,0.94,,,stem,no,10,FALSE,TRUE,FALSE,FALSE,FALSE,none,2,40,40
test_0094,reading,"Phương pháp nào được sử dụng trong công nghiệp để sản xuất zirconi kim loại nguyên chất từ năm 1945, thay thế phương pháp Iodide trước đó?",no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,FALSE,FALSE,FALSE,explicit_context_question_split,0,4,4
test_0095,reading,"Theo ngữ cảnh, giai đoạn xây dựng Cung điện của Giáo hoàng Avignon kéo dài trong bao nhiêu năm và trùng với giai đoạn lịch sử nào?",no,0.98,reading_with_quant_symbols,,reading,no,4,TRUE,TRUE,TRUE,FALSE,FALSE,explicit_context_question_split,1,62,56
test_0096,stem,"Một công ty có một khoản phải thu tiền mặt trị giá 150.000 USD với lãi suất hàng năm là 4%. Khoản phải thu này sẽ đáo hạn sau 24 tháng, và năm tài chính của công ty kết thúc vào ngày 31 tháng 12. Nếu khoản phải thu được ",no,0.94,,,stem,no,4,FALSE,TRUE,TRUE,FALSE,FALSE,none,3,32,31
